item_id,system,agent_count,task_id,backbone,coord_tokens,work_tokens,total_tokens,coord_pct,system_description,your_label,ground_truth_label
f4a70b3b_sbus,sbus,4,astropy__astropy-13236,gpt-4o-mini,3971,35103,39074,10.2%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3971): tokens spent reading shard content. Work tokens (35103): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
b85fd297_auto,autogen,8,sympy__sympy-12481,gpt-4o-mini,275324,9942,285266,96.5%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (275324): full message history (growing context). Work tokens (9942): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
bce305bc_crew,crewai,16,django__django-10097,gpt-4o-mini,1370525,37845,1408370,97.3%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (1370525): shared context broadcast + coordinator calls. Work tokens (37845): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
cf805e7f_auto,autogen,4,astropy__astropy-14096,gpt-4o-mini,412340,16172,428512,96.2%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (412340): full message history (growing context). Work tokens (16172): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
77c55352_lang,langgraph,8,django__django-11095,gpt-4o-mini,9364,1672,11036,84.8%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (9364): supervisor prompt+completion (routing/synthesis). Work tokens (1672): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
e45e90ec_crew,crewai,16,astropy__astropy-14096,gpt-4o-mini,155170,17845,173015,89.7%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (155170): shared context broadcast + coordinator calls. Work tokens (17845): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
1bdf5414_crew,crewai,8,sympy__sympy-12096,gpt-4o-mini,183365,20530,203895,89.9%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (183365): shared context broadcast + coordinator calls. Work tokens (20530): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
20dec5c5_lang,langgraph,4,astropy__astropy-14309,gpt-4o-mini,27465,3326,30791,89.2%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (27465): supervisor prompt+completion (routing/synthesis). Work tokens (3326): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
064b4f20_lang,langgraph,8,django__django-10973,gpt-4o-mini,9503,1700,11203,84.8%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (9503): supervisor prompt+completion (routing/synthesis). Work tokens (1700): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d628ea25_sbus,sbus,4,astropy__astropy-13398,gpt-4o-mini,3531,73255,76786,4.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3531): tokens spent reading shard content. Work tokens (73255): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
df69d4e1_sbus,sbus,4,django__django-11087,gpt-4o-mini,4104,133766,137870,3.0%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (4104): tokens spent reading shard content. Work tokens (133766): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
5dc23789_crew,crewai,8,sympy__sympy-11618,gpt-4o-mini,91155,13525,104680,87.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (91155): shared context broadcast + coordinator calls. Work tokens (13525): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
72f0da9d_auto,autogen,16,sympy__sympy-11618,gpt-4o-mini,471927,14610,486537,97.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (471927): full message history (growing context). Work tokens (14610): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
f2e6fdea_crew,crewai,8,django__django-10973,gpt-4o-mini,87020,10340,97360,89.4%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (87020): shared context broadcast + coordinator calls. Work tokens (10340): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
efb4bdc8_crew,crewai,4,django__django-10097,gpt-4o-mini,264050,24520,288570,91.5%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (264050): shared context broadcast + coordinator calls. Work tokens (24520): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
eafdd90a_lang,langgraph,4,astropy__astropy-13033,gpt-4o-mini,22674,3186,25860,87.7%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (22674): supervisor prompt+completion (routing/synthesis). Work tokens (3186): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
ddcffad5_auto,autogen,16,django__django-11087,gpt-4o-mini,699482,17328,716810,97.6%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (699482): full message history (growing context). Work tokens (17328): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
56f06ae6_lang,langgraph,8,django__django-10880,gpt-4o-mini,9116,1617,10733,84.9%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (9116): supervisor prompt+completion (routing/synthesis). Work tokens (1617): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
f7f92050_auto,autogen,4,django__django-10999,gpt-4o-mini,378883,14799,393682,96.2%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (378883): full message history (growing context). Work tokens (14799): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
aba12af6_sbus,sbus,8,astropy__astropy-12907,gpt-4o-mini,1777,13842,15619,11.4%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1777): tokens spent reading shard content. Work tokens (13842): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
b2b7e77f_crew,crewai,16,django__django-11095,gpt-4o-mini,88230,11440,99670,88.5%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (88230): shared context broadcast + coordinator calls. Work tokens (11440): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
99134110_auto,autogen,8,django__django-11087,gpt-4o-mini,557583,16436,574019,97.1%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (557583): full message history (growing context). Work tokens (16436): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
c5211bb6_lang,langgraph,4,sympy__sympy-12419,gpt-4o-mini,19909,3236,23145,86.0%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (19909): supervisor prompt+completion (routing/synthesis). Work tokens (3236): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
33fa2818_lang,langgraph,16,astropy__astropy-13579,gpt-4o-mini,16256,1016,17272,94.1%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (16256): supervisor prompt+completion (routing/synthesis). Work tokens (1016): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d87efa8e_crew,crewai,16,django__django-10097,gpt-4o-mini,1432590,43250,1475840,97.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (1432590): shared context broadcast + coordinator calls. Work tokens (43250): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
8ce68ced_crew,crewai,4,django__django-10999,gpt-4o-mini,154740,18390,173130,89.4%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (154740): shared context broadcast + coordinator calls. Work tokens (18390): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
c517bb21_lang,langgraph,8,sympy__sympy-12419,gpt-4o-mini,11128,1648,12776,87.1%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (11128): supervisor prompt+completion (routing/synthesis). Work tokens (1648): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
0dad6dff_sbus,sbus,4,django__django-10554,gpt-4o-mini,5624,55715,61339,9.2%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (5624): tokens spent reading shard content. Work tokens (55715): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
bc5259a2_lang,langgraph,16,astropy__astropy-13579,gpt-4o-mini,15973,946,16919,94.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (15973): supervisor prompt+completion (routing/synthesis). Work tokens (946): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
abf3b1de_lang,langgraph,16,astropy__astropy-13453,gpt-4o-mini,21791,818,22609,96.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (21791): supervisor prompt+completion (routing/synthesis). Work tokens (818): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
f00ea4e6_lang,langgraph,16,astropy__astropy-14096,gpt-4o-mini,6056,866,6922,87.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (6056): supervisor prompt+completion (routing/synthesis). Work tokens (866): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
7e4d2633_auto,autogen,8,django__django-11099,gpt-4o-mini,440615,16472,457087,96.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (440615): full message history (growing context). Work tokens (16472): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
85d0d1fb_sbus,sbus,8,sympy__sympy-12481,gpt-4o-mini,1596,7385,8981,17.8%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1596): tokens spent reading shard content. Work tokens (7385): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
9ad22f46_lang,langgraph,16,django__django-10999,gpt-4o-mini,5620,772,6392,87.9%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (5620): supervisor prompt+completion (routing/synthesis). Work tokens (772): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
47f9d9e1_crew,crewai,16,astropy__astropy-13236,gpt-4o-mini,501135,31280,532415,94.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (501135): shared context broadcast + coordinator calls. Work tokens (31280): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
ae93921f_lang,langgraph,4,django__django-10914,gpt-4o-mini,19262,3344,22606,85.2%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (19262): supervisor prompt+completion (routing/synthesis). Work tokens (3344): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
decfad01_sbus,sbus,4,sympy__sympy-11618,gpt-4o-mini,3350,13893,17243,19.4%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3350): tokens spent reading shard content. Work tokens (13893): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
1b7f8fa3_crew,crewai,16,astropy__astropy-13453,gpt-4o-mini,350070,17755,367825,95.2%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (350070): shared context broadcast + coordinator calls. Work tokens (17755): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
bca2ce85_auto,autogen,4,astropy__astropy-12907,gpt-4o-mini,306397,11278,317675,96.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (306397): full message history (growing context). Work tokens (11278): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
e609771d_sbus,sbus,4,astropy__astropy-13977,gpt-4o-mini,4094,56804,60898,6.7%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (4094): tokens spent reading shard content. Work tokens (56804): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
2d3cb2cc_sbus,sbus,8,astropy__astropy-13579,gpt-4o-mini,2254,43540,45794,4.9%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2254): tokens spent reading shard content. Work tokens (43540): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
7548813c_sbus,sbus,16,astropy__astropy-12907,gpt-4o-mini,1013,7709,8722,11.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1013): tokens spent reading shard content. Work tokens (7709): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
18259b57_crew,crewai,4,django__django-10973,gpt-4o-mini,91300,11460,102760,88.8%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (91300): shared context broadcast + coordinator calls. Work tokens (11460): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
844745c4_sbus,sbus,8,django__django-11099,gpt-4o-mini,1837,9918,11755,15.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1837): tokens spent reading shard content. Work tokens (9918): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
95cf0b1c_sbus,sbus,16,astropy__astropy-14309,gpt-4o-mini,2175,24071,26246,8.3%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2175): tokens spent reading shard content. Work tokens (24071): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
a1f3f85f_auto,autogen,4,sympy__sympy-12489,gpt-4o-mini,134434,4276,138710,96.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (134434): full message history (growing context). Work tokens (4276): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
80c85ae3_auto,autogen,16,astropy__astropy-13977,gpt-4o-mini,243906,5315,249221,97.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (243906): full message history (growing context). Work tokens (5315): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8f754ff0_auto,autogen,8,astropy__astropy-14309,gpt-4o-mini,252229,4626,256855,98.2%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (252229): full message history (growing context). Work tokens (4626): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
93e9e552_crew,crewai,8,sympy__sympy-12419,gpt-4o-mini,166950,18275,185225,90.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (166950): shared context broadcast + coordinator calls. Work tokens (18275): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
2723f1c0_crew,crewai,8,django__django-10999,gpt-4o-mini,1352955,41780,1394735,97.0%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (1352955): shared context broadcast + coordinator calls. Work tokens (41780): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
01698e7d_auto,autogen,16,sympy__sympy-11618,gpt-4o-mini,377634,11832,389466,97.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (377634): full message history (growing context). Work tokens (11832): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
a3bdba43_crew,crewai,8,sympy__sympy-12489,gpt-4o-mini,160780,18680,179460,89.6%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (160780): shared context broadcast + coordinator calls. Work tokens (18680): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
b719a4d9_auto,autogen,8,astropy__astropy-14309,gpt-4o-mini,251525,5078,256603,98.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (251525): full message history (growing context). Work tokens (5078): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
07465f8a_crew,crewai,4,django__django-11099,gpt-4o-mini,1275425,35925,1311350,97.3%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (1275425): shared context broadcast + coordinator calls. Work tokens (35925): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
1045fbc5_crew,crewai,4,sympy__sympy-12419,gpt-4o-mini,167730,18410,186140,90.1%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (167730): shared context broadcast + coordinator calls. Work tokens (18410): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
4b44bc86_sbus,sbus,8,astropy__astropy-13977,gpt-4o-mini,2099,29630,31729,6.6%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2099): tokens spent reading shard content. Work tokens (29630): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
ce01bc1e_lang,langgraph,16,sympy__sympy-12419,gpt-4o-mini,7170,858,8028,89.3%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (7170): supervisor prompt+completion (routing/synthesis). Work tokens (858): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
3fd6c6af_lang,langgraph,8,astropy__astropy-14309,gpt-4o-mini,19635,1789,21424,91.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (19635): supervisor prompt+completion (routing/synthesis). Work tokens (1789): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
782c3afc_auto,autogen,4,django__django-11099,gpt-4o-mini,250901,9421,260322,96.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (250901): full message history (growing context). Work tokens (9421): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8af15e33_crew,crewai,8,django__django-11066,gpt-4o-mini,174285,18195,192480,90.5%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (174285): shared context broadcast + coordinator calls. Work tokens (18195): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
37ac599b_sbus,sbus,4,django__django-10973,gpt-4o-mini,3056,13323,16379,18.7%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3056): tokens spent reading shard content. Work tokens (13323): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
2aaff38e_auto,autogen,4,django__django-10914,gpt-4o-mini,258513,9452,267965,96.5%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (258513): full message history (growing context). Work tokens (9452): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
afffdea6_auto,autogen,8,astropy__astropy-13579,gpt-4o-mini,525312,15979,541291,97.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (525312): full message history (growing context). Work tokens (15979): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
ec76013b_sbus,sbus,4,django__django-10097,gpt-4o-mini,3384,38207,41591,8.1%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (3384): tokens spent reading shard content. Work tokens (38207): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
b4e733c3_auto,autogen,16,astropy__astropy-13398,gpt-4o-mini,531106,14361,545467,97.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (531106): full message history (growing context). Work tokens (14361): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
444f6b3a_lang,langgraph,4,astropy__astropy-13398,gpt-4o-mini,26720,3128,29848,89.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (26720): supervisor prompt+completion (routing/synthesis). Work tokens (3128): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
3d729622_sbus,sbus,8,sympy__sympy-12419,gpt-4o-mini,2717,16278,18995,14.3%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (2717): tokens spent reading shard content. Work tokens (16278): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
2179cdb3_crew,crewai,16,astropy__astropy-14096,gpt-4o-mini,150110,17555,167665,89.5%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (150110): shared context broadcast + coordinator calls. Work tokens (17555): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
c8d65eea_auto,autogen,8,django__django-11095,gpt-4o-mini,303108,10581,313689,96.6%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (303108): full message history (growing context). Work tokens (10581): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d4fdf8a5_auto,autogen,4,django__django-10880,gpt-4o-mini,192202,7210,199412,96.4%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (192202): full message history (growing context). Work tokens (7210): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
e48df35a_crew,crewai,16,django__django-10554,gpt-4o-mini,200300,17350,217650,92.0%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (200300): shared context broadcast + coordinator calls. Work tokens (17350): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
70d63dd7_lang,langgraph,4,astropy__astropy-14096,gpt-4o-mini,19402,3324,22726,85.4%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (19402): supervisor prompt+completion (routing/synthesis). Work tokens (3324): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
0cae8bfa_sbus,sbus,16,sympy__sympy-12481,gpt-4o-mini,804,3982,4786,16.8%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (804): tokens spent reading shard content. Work tokens (3982): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
23206e25_auto,autogen,4,django__django-10973,gpt-4o-mini,143943,4635,148578,96.9%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (143943): full message history (growing context). Work tokens (4635): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
32530bba_lang,langgraph,4,django__django-10554,gpt-4o-mini,23464,3163,26627,88.1%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (23464): supervisor prompt+completion (routing/synthesis). Work tokens (3163): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
676a1503_sbus,sbus,8,django__django-10999,gpt-4o-mini,1633,10774,12407,13.2%,"S-Bus agent: reads its owned shard via HTTP GET, then calls the LLM to generate a delta (task output). The LLM sees only its own shard content. Coord tokens (1633): tokens spent reading shard content. Work tokens (10774): tokens in the LLM prompt+completion for the task.",WORK,COORD_WORK_MIXED
e9301c66_auto,autogen,4,django__django-10880,gpt-4o-mini,141229,4990,146219,96.6%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (141229): full message history (growing context). Work tokens (4990): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
d248f4c8_auto,autogen,4,astropy__astropy-14309,gpt-4o-mini,322650,9817,332467,97.0%,"AutoGen RoundRobin: each agent reads the FULL message history at each step. The history grows monotonically, accumulating all prior agent outputs. Coord tokens (322650): full message history (growing context). Work tokens (9817): agent completion tokens (actual task output).",COORD,COORD_WORK_MIXED
8c4cc703_lang,langgraph,16,astropy__astropy-13977,gpt-4o-mini,11864,950,12814,92.6%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (11864): supervisor prompt+completion (routing/synthesis). Work tokens (950): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
e0b8afc2_lang,langgraph,16,astropy__astropy-13453,gpt-4o-mini,21906,883,22789,96.1%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (21906): supervisor prompt+completion (routing/synthesis). Work tokens (883): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
9426910c_lang,langgraph,4,django__django-10880,gpt-4o-mini,18675,3431,22106,84.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (18675): supervisor prompt+completion (routing/synthesis). Work tokens (3431): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
afa2bf24_lang,langgraph,16,django__django-10554,gpt-4o-mini,10524,852,11376,92.5%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (10524): supervisor prompt+completion (routing/synthesis). Work tokens (852): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
1e110714_crew,crewai,4,sympy__sympy-12419,gpt-4o-mini,169840,18890,188730,90.0%,CrewAI coordinator: broadcasts task context to all agents each step. Each agent reads the full shared context before producing output. Coord tokens (169840): shared context broadcast + coordinator calls. Work tokens (18890): agent completion tokens (actual task output).,COORD,COORD_WORK_MIXED
3a7caa1b_lang,langgraph,16,astropy__astropy-13398,gpt-4o-mini,14225,917,15142,93.9%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (14225): supervisor prompt+completion (routing/synthesis). Work tokens (917): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
7c0bc7ef_lang,langgraph,16,django__django-11095,gpt-4o-mini,4698,825,5523,85.1%,"LangGraph supervisor: manages a graph of worker agents. The supervisor LLM reads all worker outputs, synthesises context, and routes to the next node. Coord tokens (4698): supervisor prompt+completion (routing/synthesis). Work tokens (825): worker completion tokens (actual task output).",COORD,COORD_WORK_MIXED
